STATE,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Alabama,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5050380,5073903,5108468
Alaska,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,734923,733276,733406
Arizona,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,7272487,7365684,7431344
Arkansas,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,3028443,3046404,3067732
California,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,39145060,39040616,38965193
Colorado,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719,5811596,5841039,5877610
Connecticut,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006,3603691,3608706,3617176
Delaware,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809,1004881,1019459,1031890
District of Columbia,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,712816,669037,670949,678972
Florida,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312,21830708,22245521,22610726
Georgia,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017,10790385,10913150,11029227
Hawaii,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1407006,1446745,1439399,1435138
Idaho,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1826913,1904537,1938996,1964726
Illinois,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12587530,12690341,12582515,12549689
Indiana,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6754953,6813798,6832274,6862199
Iowa,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3163561,3197944,3199693,3207004
Kansas,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2913805,2937946,2936716,2940546
Kentucky,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4477251,4507600,4511563,4526154
Louisiana,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4645318,4627047,4588023,4573749
Maine,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1350141,1378787,1389338,1395722
Maryland,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6055802,6175045,6163981,6180253
Massachusetts,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6893574,6991951,6982740,7001399
Michigan,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,9966555,10038117,10033281,10037261
Minnesota,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5640053,5657342,5717968,5714300,5737915
Mississippi,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2978227,2966786,2949582,2938928,2939690
Missouri,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6140475,6151548,6170393,6177168,6196156
Montana,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1070123,1080577,1106366,1122878,1132812
Nebraska,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1932571,1937552,1964253,1968060,1978379
Nevada,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3090771,3138259,3146632,3177421,3194176
New Hampshire,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1360783,1366275,1387494,1399003,1402054
New Jersey,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,8891258,8882371,9269175,9260817,9290841
New Mexico,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2106319,2116950,2113476,2114371
New York,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,19336776,19854526,19673200,19571216
North Carolina,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10600823,10567100,10695965,10835491
North Dakota,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,765309,777982,778912,783926
Ohio,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11693217,11765227,11759697,11785935
Oklahoma,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3980783,3991634,4019271,4053824
Oregon,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4241507,4256465,4239379,4233358
Pennsylvania,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12783254,13013614,12972091,12961683
Rhode Island,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1057125,1097092,1093842,1095962
South Carolina,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5218040,5193848,5282955,5373555
South Dakota,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,892717,896299,909869,919318
Tennessee,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6886834,6963709,7048976,7126489
Texas,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29360759,29561286,30029848,30503301
